PropertyNumber,Suburb,State,Postcode,Category,PropertySalePrice,from_unixtime(PropertySaleDate),NumberOfBedrooms
120230825,Footscray,Vic,3011,Townhouse,722500,"2015-08-08 00:00:00",3
120246337,Footscray,Vic,3011,Other,4250000,"2015-08-18 00:00:00",0
120261149,Footscray,Vic,3011,House,680000,"2015-08-03 00:00:00",3
120269593,Footscray,Vic,3011,House,840000,"2015-08-18 00:00:00",3
120282753,Footscray,Vic,3011,House,555000,"2015-08-22 00:00:00",2
120303833,Footscray,Vic,3011,House,460000,"2015-08-13 00:00:00",2
120308765,Footscray,Vic,3011,Townhouse,380000,"2015-09-07 00:00:00",2
120312557,Footscray,Vic,3011,Flat,286000,"2016-02-25 00:00:00",2
120320949,Footscray,Vic,3011,Apartment,360000,"2015-09-16 00:00:00",2
120330185,Footscray,Vic,3011,House,915000,"2015-08-24 00:00:00",3
120339313,Footscray,Vic,3011,Apartment,580000,"2015-10-06 00:00:00",3
120339681,Footscray,Vic,3011,Apartment,565000,"2015-08-11 00:00:00",3
120339685,Footscray,Vic,3011,Apartment,565000,"2015-08-11 00:00:00",3
120339689,Footscray,Vic,3011,Apartment,565000,"2015-08-08 00:00:00",3
120339693,Footscray,Vic,3011,Apartment,590000,"2015-08-05 00:00:00",3
120339725,Footscray,Vic,3011,Apartment,580000,"2015-08-08 00:00:00",3
120340369,Footscray,Vic,3011,Apartment,382000,"2015-08-28 00:00:00",2
120355017,Footscray,Vic,3011,Apartment,370000,"2015-08-19 00:00:00",2
120361697,Footscray,Vic,3011,Terrace,780000,"2015-08-29 00:00:00",7
120391833,Footscray,Vic,3011,Studio,185000,"2015-08-27 00:00:00",0
120410873,Footscray,Vic,3011,House,591000,"2015-09-28 00:00:00",3
120412545,Footscray,Vic,3011,Apartment,300000,"2015-08-25 00:00:00",2
120413445,Footscray,Vic,3011,House,697000,"2015-09-07 00:00:00",3
120432665,Footscray,Vic,3011,Apartment,260000,"2015-09-15 00:00:00",1
120433921,Footscray,Vic,3011,Apartment,580000,"2015-08-07 00:00:00",3
120434065,Footscray,Vic,3011,Apartment,535000,"2015-08-05 00:00:00",3
120434069,Footscray,Vic,3011,Apartment,565000,"2015-08-05 00:00:00",3
120434961,Footscray,Vic,3011,House,795000,"2015-09-12 00:00:00",3
120440593,Footscray,Vic,3011,House,755000,"2015-09-07 00:00:00",3
